Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,3,1,0.2711736617240512,0.125,0.0,0.014151057562208049,False,True
1,3,0,0.32143754712239253,0.0,0.0,0.015468569817999833,False,True
1,1,0,0.4345312892686604,0.125,0.0,0.10364429745562033,False,True
0,3,1,0.4345312892686604,0.0,0.0,0.015712553569072387,False,True
0,3,1,0.34656948982156316,0.0,0.0,0.01650950209357577,True,False
0,1,1,0.6732847449107816,0.0,0.0,0.10122885832000206,False,True
0,3,1,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,False,True
1,3,0,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,False,True
1,2,0,0.17064589092736868,0.125,0.0,0.058694292654020104,False,False
1,3,0,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,False,True
1,1,0,0.723548630309123,0.0,0.0,0.051822148727810165,False,True
0,3,1,0.24604171902488062,0.0,0.0,0.015712553569072387,False,True
0,3,1,0.4847951746670017,0.125,0.8333333333333333,0.06104473451835265,False,True
0,3,0,0.17064589092736868,0.0,0.0,0.015330377421392339,False,True
1,2,0,0.685850716260367,0.0,0.0,0.03122992013728673,False,True
0,3,1,0.01985423473234481,0.5,0.16666666666666666,0.05684821399990475,True,False
1,2,1,0.34656948982156316,0.0,0.0,0.025374310111545468,False,True
0,3,0,0.38426740387031916,0.125,0.0,0.03513366015444757,False,True
1,3,0,0.34656948982156316,0.0,0.0,0.014102260811993537,False,False
0,2,1,0.4345312892686604,0.0,0.0,0.050748620223090936,False,True
1,2,1,0.4219653179190751,0.0,0.0,0.025374310111545468,False,True
1,3,0,0.18321186227695402,0.0,0.0,0.015671954672893913,True,False
1,1,1,0.34656948982156316,0.0,0.0,0.06929138530460494,False,True
0,3,0,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,False,True
1,3,0,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,False,True
0,3,1,0.34656948982156316,0.0,0.0,0.014102260811993537,False,False
1,3,0,0.34656948982156316,0.0,0.0,0.01537917417160685,True,False
0,3,1,0.34656948982156316,0.0,0.0,0.015411575213749286,False,True
0,1,1,0.49736114601658704,0.0,0.0,0.05410739813385612,False,False
1,3,0,0.34656948982156316,0.0,0.0,0.015126992566498259,True,False
0,2,1,0.8240764011058055,0.0,0.0,0.020494635090094415,False,True
0,1,1,0.5224930887157577,0.125,0.0,0.10149724044618187,False,True
1,3,1,0.34656948982156316,0.0,0.0,0.014110458666029575,False,False
0,3,1,0.2586076903744659,0.0,0.0,0.015712553569072387,False,True
0,3,0,0.22090977632571,0.25,0.0,0.03513366015444757,False,True
1,3,0,0.17064589092736868,0.125,0.0,0.021942337075458514,False,False
0,3,0,0.49736114601658704,0.125,0.0,0.018493968331299484,False,True
0,2,0,0.33400351847197784,0.125,0.0,0.04098927018018883,False,True
0,3,1,0.34656948982156316,0.0,0.0,0.015411575213749286,False,False
1,2,0,0.032420206081930136,0.125,0.3333333333333333,0.08115719346076702,False,False
1,3,0,0.2334757476752953,0.0,0.0,0.01537917417160685,True,False
0,3,1,0.34656948982156316,0.0,0.0,0.015712553569072387,False,True
0,3,1,0.34656948982156316,0.125,0.0,0.030253985132996517,True,False
1,3,0,0.34656948982156316,0.0,0.0,0.015126992566498259,True,False
